,author_id,created_at,edit_history_tweet_ids,id,text
21,1524668303364419584,2022-12-03 16:41:15+00:00,[1599081339218964482],1599081339218964482,"Saturday workout. 

#fitness #health #bhfyp #training #fitfam #bodybuilding #fitnessmotivation #sport #yoga #healthyfood #goals #healthylifestyle #running #fitspo #diet #weightloss #gymlife #strong #muscle #crossfit #instafit https://t.co/3bupyFq5se"
22,705040642179727361,2022-12-03 16:20:08+00:00,[1599076026398769153],1599076026398769153,#FitSpo Deadlifts for great hamstrings and glutes!! #Fitfam #goals #motivation #GetFITnLEAN https://t.co/bImYK96a9Z
23,705040642179727361,2022-12-03 15:40:07+00:00,[1599065956399054849],1599065956399054849,#FitFam Ladies do be afraid to lift heavy ass weights! #fitspo #GetFITnLEAN https://t.co/7Wn05qHesv
24,705040642179727361,2022-12-03 15:20:08+00:00,[1599060927705481219],1599060927705481219,#Fitfam the alternative to boredom is #exercise not food! #GetFITnLEAN #fitspo #nutrition #diet https://t.co/5hGf1pQjgC
25,825773461,2022-12-03 15:20:05+00:00,[1599060914493333508],1599060914493333508,Join us on FB as well and share your #Fitness / #Wellness journey! #Fitfam #Fitspo https://t.co/rvfbxAhSJY https://t.co/H2PWCJBh5L
26,26539716,2022-12-03 14:43:49+00:00,[1599051786261700608],1599051786261700608,Morning twitter… #fitspo @muscles2016 https://t.co/muLABReRjn
27,705040642179727361,2022-12-03 14:40:08+00:00,[1599050859903651845],1599050859903651845,#Fitfam - TRUST THE PROCESS!! #Fitspo #Goals #GetFITnLEAN https://t.co/KRCL63Gnvj
28,705040642179727361,2022-12-03 14:20:08+00:00,[1599045826537525248],1599045826537525248,#FitFam Skinny isn't sexy! Fit is SEXY!! #Fitspo #GetFITnLEAN https://t.co/aStPKMyEMu
29,2411964451,2022-12-03 13:32:57+00:00,[1599033953590992896],1599033953590992896,"Be ruthless with yourself.

Few understand. 
#fitness #fitspo #weightloss #fatloss #coach #health #wellness #workout #exercise #nutrition #eating #food"
30,1599018586601054208,2022-12-03 13:24:50+00:00,[1599031910378147840],1599031910378147840,"CHALLENGE ACCEPTED..MYTH VS FACT..
#health #fitness #fit #envywear #PleaseForgiveMe #fitnessmodel #fitnessaddict #fitspo #workout #bodybuilding #cardio #gym #train #training #health #healthy #instahealth https://t.co/Ai8q5QTZ0H"
31,705040642179727361,2022-12-03 13:20:08+00:00,[1599030726606966785],1599030726606966785,#FitNLean looks great on you ladies! Keep after your #fitness / #wellness goals! #fitfam #fitspo https://t.co/qfiAtudXf3
32,1081695903201792005,2022-12-03 13:20:07+00:00,[1599030723331194881],1599030723331194881,Junk Food you wanted for an hour VERSUS The Body You have Wanted for Years! YOU CHOOSE!! #Fitfam #Fitspo #nutrition https://t.co/Rj3H3GE362
33,705040642179727361,2022-12-03 13:00:08+00:00,[1599025694855544832],1599025694855544832,#Fitspo Get outside and get some fresh air and natural beauty with your #cardio! #Fitfam #GetFITnLEAN https://t.co/wBFXK3yy2B
34,1250362162079563777,2022-12-03 10:27:05+00:00,[1598987179396431872],1598987179396431872,"3 simple steps to use our CBD Muscle + Joint Balm⁠ ⁠
Available in:⁠
🍁 Unscented⁠
❄️ Deep Freeze⁠
🔥 Active Heat⁠

#fitness #recovery #cbd #cbdoil #cbdrecovery #hemphealth ⁠
#active #health #gym #workout #fit #exercise ⁠#sportsperformance #fitspo #depression #mentalhealth https://t.co/GCcEm39yjO"
35,1566001015555772417,2022-12-03 09:34:58+00:00,[1598974061761425409],1598974061761425409,"Simple Weight Loss Plans. Click this link : https://t.co/KS8ZinzuhL

#weight #fitness #gym #workout #weightloss #fit #weightlossjourney #motivation #healthy #health #muscle #fitnessmotivation #strong #gymlife #weightlifting #bodybuilding #exercise #gains #goals #fitspo #body https://t.co/ziCxFuJECg"
36,1009620314446319627,2022-12-03 09:33:19+00:00,[1598973647649230857],1598973647649230857,"That fun, ED fueled moment when the program that you wanted to go to is booked until Sep '23 so you feel like resticting &amp; fasting for 3 days to get a modicum of control over your life.☺☺☺

Someone unalive me.

#edtwt #edtwtthread #proana #proanatwt #thinspo #proanatwt #fitspo"
37,1357390084924968960,2022-12-03 08:26:06+00:00,[1598956732486598656],1598956732486598656,"Aces Beer Sleeve
https://t.co/84ZKOk2sFh
:::::::::::
#pinsu , #AcespecComicShare , #BeeryChristmas , #sleeve #insulated, #cooler, #storesjp , #CansuDere , #discreetly, #Golf , #bagetsjakolvideo , #canned, #beverages, #ColdplayBuenosAires , #fitspo , #bags , #Styles , #TypeScript https://t.co/RFtA2EaotH"
38,1435540279440789512,2022-12-03 07:01:17+00:00,[1598935387958820865],1598935387958820865,"SESSION SPOTLIGHT 🎉💪🏼
Each week closer to the goal of 1 pull up!!
#activewear #gymwear #sportswear #active #fitspo #fitfam #balance #mentalhealth #recovery #strength #cleaneating #healthyeating #personaltraining https://t.co/XYIj1IjFiF"
39,831596996263890944,2022-12-03 05:57:16+00:00,[1598919275904999424],1598919275904999424,Craving fried fatty foods? Opt for a grilled salmon choice which has plenty of healthy fats. #Fitspiration
40,825773461,2022-12-03 05:40:06+00:00,[1598914954702225410],1598914954702225410,Join us on FB as well and share your #Fitness / #Wellness journey! https://t.co/rvfbxAhSJY #Fitfam #fitspo #nutrition #nutritionist #FitnessMotivation #fitnessmodel #fitnessguru #fitnessgirl #fitnesstips #Fitnessgoals #HIIT #Keto #diet
41,3166820191,2022-12-03 05:25:16+00:00,[1598911221062946816],1598911221062946816,"""The best and most efficient pharmacy is within your own system."" #Fitspiration https://t.co/grkLA0uGQa"
42,1267717858001162241,2022-12-03 05:07:14+00:00,[1598906684386471936],1598906684386471936,"💪🏼 Chest + Triceps + Core/Ab
📍 Gym
#MerryFITMas #FITspiration https://t.co/oSY3rwlnUI"
43,233991388,2022-12-03 05:00:08+00:00,[1598904898338361344],1598904898338361344,Join us on FB as well and share your #Fitness / #Wellness journey! https://t.co/8UrOGUhOoI #Fitfam #fitspo #nutrition #nutritionist #FitnessMotivation #fitnessmodel #fitnessguru #fitnessgirl #fitnesstips #Fitnessgoals #HIIT #Keto #diet https://t.co/PhIxWxxBOO
44,1393405959179948034,2022-12-03 04:40:33+00:00,[1598899968211062784],1598899968211062784,"Just finished my workout and while pushing walls and holding bars, what kept me going was ""how can Chiyeul do it every day? So should I, right?""

#HappyChiyeulDay to my #fitspo https://t.co/2UOAARs9pc"
45,1037717166731259905,2022-12-03 04:07:00+00:00,[1598891528071544835],1598891528071544835,"Sex appeal 🔥🔥🔥 @abodyofaferrari

#fitnessmodel #fitness #bodybuilding #fitnessmotivation #gymlife #model #fitspo https://t.co/lYZVKrwGhM"
46,705040642179727361,2022-12-03 04:00:08+00:00,[1598889799389175809],1598889799389175809,#Fitfam Pullups - best back exercise for ya - guys &amp; gals #Fitspo #GetFITnLEAN https://t.co/RKxHkk7mdU
47,3284858274,2022-12-03 03:40:45+00:00,[1598884920742510594],1598884920742510594,"Take the time to make your soul HAPPY.

#active #fitspo #fitfam #balance #spirituality https://t.co/uxYHfqaHKr"
48,705040642179727361,2022-12-03 02:40:08+00:00,[1598869664456663043],1598869664456663043,#FitFam Squats are a girls best friend!! #GoDeep #FitSpo #GetFITnLEAN https://t.co/oPoJX1crTt
49,37002399,2022-12-03 02:25:50+00:00,[1598866067459170304],1598866067459170304,"The mind controls the body💪
•
#motivation #inspiration #fitness #fitfam #exercise #workout #health #lifestyle #success #lifestyle #cardio #weightlifting #abs #gym #sports #gymmotivation #fitspo #instafit #weightloss #fatloss #getfit #shape https://t.co/fQB9rn6bGu"
50,705040642179727361,2022-12-03 02:00:08+00:00,[1598859599997804545],1598859599997804545,#Fitfam What makes you hurt today.. makes you stronger tomorrow!! #Fitspo #GetFITnLEAN https://t.co/bXsfPtEOsa
